marital,divorce,widowed,agekdbrn,happy,hapmar,hapcohab,age,degree,income,relgion,life
Never Married,NA,NA,26,Not Too Happy,NA,Pretyy Happy,40,High School,"$10,000 to $14,999",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,51,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,Yes,18,Not Too Happy,NA,NA,53,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,26,Very Happy,Very Happy,NA,33,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,53,High School,"$25,000 or more",None,Dull
Never Married,NA,NA,28,Not Too Happy,NA,NA,46,Associate,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,63,Graduate,"$25,000 or more",Catholic ,Exciting
Married,Yes,No ,17,Pretyy Happy,Pretyy Happy,NA,71,<High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,19,Pretyy Happy,Very Happy,NA,46,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,31,Pretyy Happy,NA,NA,72,High School,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,24,Pretyy Happy,NA,NA,42,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,44,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,28,Very Happy,Very Happy,NA,43,Graduate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,23,Pretyy Happy,NA,NA,39,High School,"$20,000 to $24,999",Christian,Routine
Married,Yes,No ,30,Pretyy Happy,Very Happy,NA,75,Graduate,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,Pretyy Happy,28,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,56,Associate,"<$1,000",Protestant,Routine
Separated,NA,No ,29,Pretyy Happy,NA,Very Happy,37,Associate,"$25,000 or more",None,Routine
Married,Yes,No ,34,Pretyy Happy,Pretyy Happy,NA,49,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,70,Bachelors,"$25,000 or more",None,Exciting
Divorced,NA,No ,21,Very Happy,NA,NA,78,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,24,Pretyy Happy,Very Happy,NA,74,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,17,Pretyy Happy,NA,NA,23,High School,"$7,000 to $7,999",None,Routine
Married,Yes,No ,29,Not Too Happy,Very Happy,NA,76,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,22,Associate,"$15,000 to $19,999",None,Dull
Separated,NA,No ,NA,Pretyy Happy,NA,NA,54,High School,"$25,000 or more",Christian,Routine
Married,Yes,Yes,21,Very Happy,Very Happy,NA,54,High School,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,24,Pretyy Happy,Pretyy Happy,NA,38,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,20,Very Happy,Very Happy,NA,42,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,20,Pretyy Happy,NA,NA,37,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,36,High School,"$10,000 to $14,999",None,Routine
Divorced,NA,No ,33,Pretyy Happy,NA,NA,62,High School,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,21,Very Happy,Very Happy,NA,80,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Very Happy,NA,Very Happy,29,Graduate,"$3,000 to $3,999",Hinduism,Routine
Widowed,Yes,NA,25,Very Happy,NA,Very Happy,50,Graduate,Refused,None,Exciting
Married,No ,No ,27,Pretyy Happy,Pretyy Happy,NA,34,High School,"$25,000 or more",Orthodox-Christian,Routine
Married,Yes,Yes,20,Pretyy Happy,Pretyy Happy,NA,66,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,22,Not Too Happy,Very Happy,NA,42,High School,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,20,Pretyy Happy,Pretyy Happy,NA,53,Associate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,21,Pretyy Happy,NA,Pretyy Happy,41,Associate,"$25,000 or more",Christian,Routine
Never Married,NA,NA,20,Pretyy Happy,NA,NA,28,Associate,"$25,000 or more",Protestant,Routine
Married,No ,No ,24,Not Too Happy,Pretyy Happy,NA,41,Associate,"$25,000 or more",Christian,Routine
Widowed,No ,NA,19,Not Too Happy,NA,NA,76,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,26,Not Too Happy,NA,NA,38,<High School,"$10,000 to $14,999",None,Dull
Never Married,NA,NA,NA,Very Happy,NA,NA,29,High School,"$10,000 to $14,999",Protestant,Exciting
Married,No ,No ,27,Pretyy Happy,Very Happy,NA,73,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,17,Not Too Happy,NA,NA,35,High School,"$10,000 to $14,999",None,Dull
Married,Yes,No ,28,Pretyy Happy,Very Happy,NA,53,Associate,"$15,000 to $19,999",Orthodox-Christian,Routine
Divorced,NA,No ,37,Not Too Happy,NA,NA,53,High School,"$25,000 or more",None,Routine
Married,No ,No ,36,Pretyy Happy,Very Happy,NA,48,Associate,"$25,000 or more",None,Exciting
Married,No ,No ,17,Pretyy Happy,Very Happy,NA,69,High School,"<$1,000",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,31,Graduate,"$25,000 or more",None,Dull
Married,No ,No ,24,Pretyy Happy,Pretyy Happy,NA,49,Graduate,Refused,None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,26,High School,"$15,000 to $19,999",None,Routine
Married,Yes,No ,30,Not Too Happy,Pretyy Happy,NA,69,Associate,"$25,000 or more",None,Routine
Married,No ,No ,23,Pretyy Happy,Very Happy,NA,25,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,23,Pretyy Happy,NA,NA,25,Associate,"$10,000 to $14,999",Protestant,Routine
Married,No ,Yes,21,Pretyy Happy,Very Happy,NA,82,Bachelors,"$20,000 to $24,999",Protestant,Exciting
Married,Yes,No ,21,Pretyy Happy,Pretyy Happy,NA,76,High School,"$25,000 or more",None,Routine
Married,No ,No ,18,Pretyy Happy,Very Happy,NA,35,High School,"$25,000 or more",None,Routine
Married,Yes,No ,22,Very Happy,Very Happy,NA,76,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,19,Very Happy,Very Happy,NA,31,High School,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,29,Very Happy,Very Happy,NA,50,Graduate,Refused,Catholic ,Exciting
Married,No ,No ,23,Not Too Happy,Pretyy Happy,NA,52,High School,"$25,000 or more",None,Routine
Married,No ,No ,20,Very Happy,Very Happy,NA,84,High School,"$25,000 or more",Christian,Exciting
Married,No ,No ,17,Pretyy Happy,Very Happy,NA,41,Bachelors,"$25,000 or more",Other,Routine
Married,No ,No ,27,Very Happy,Very Happy,NA,28,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,20,Not Too Happy,Very Happy,NA,69,High School,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,30,Pretyy Happy,Not Too Happy,NA,44,High School,"$10,000 to $14,999",Protestant,Routine
Married,No ,No ,19,Very Happy,Very Happy,NA,69,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,23,Pretyy Happy,Very Happy,NA,63,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,22,Pretyy Happy,Pretyy Happy,NA,75,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,17,Pretyy Happy,Very Happy,NA,53,<High School,Refused,Protestant,Routine
Divorced,NA,No ,34,Pretyy Happy,NA,NA,66,Associate,"$25,000 or more",Protestant,Routine
Married,No ,No ,33,Pretyy Happy,Pretyy Happy,NA,81,Bachelors,"$25,000 or more",Catholic ,Routine
Widowed,No ,NA,27,Very Happy,NA,Pretyy Happy,89,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,24,Very Happy,NA,Very Happy,69,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,23,Not Too Happy,NA,NA,70,High School,"$10,000 to $14,999",Protestant,Exciting
Widowed,No ,NA,NA,Not Too Happy,NA,NA,70,High School,"$15,000 to $19,999",Protestant,Dull
Never Married,NA,NA,30,Pretyy Happy,NA,Pretyy Happy,38,High School,Refused,Catholic ,Exciting
Married,No ,No ,37,Pretyy Happy,Pretyy Happy,NA,51,Graduate,Refused,Catholic ,Routine
Married,No ,No ,21,Pretyy Happy,Very Happy,NA,79,High School,"$25,000 or more",Catholic ,Routine
Widowed,Yes,NA,22,Pretyy Happy,NA,NA,80,High School,"$15,000 to $19,999",None,Routine
Never Married,NA,NA,21,Pretyy Happy,NA,NA,30,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,33,High School,"$10,000 to $14,999",None,Routine
Married,No ,No ,28,Very Happy,Very Happy,NA,29,Associate,"$15,000 to $19,999",Catholic ,Routine
Never Married,NA,NA,22,Pretyy Happy,NA,NA,61,High School,"$15,000 to $19,999",Catholic ,Routine
Married,No ,No ,21,Pretyy Happy,Pretyy Happy,NA,46,High School,"$20,000 to $24,999",Catholic ,Routine
Married,No ,No ,21,Pretyy Happy,Very Happy,NA,39,Associate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,51,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,18,Very Happy,NA,Very Happy,23,Associate,"$6,000 to $6,999",Catholic ,Exciting
Married,No ,No ,36,Very Happy,Very Happy,NA,55,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Very Happy,NA,NA,59,Graduate,"$25,000 or more",None,Exciting
Divorced,NA,No ,NA,Not Too Happy,NA,NA,61,Graduate,"$25,000 or more",Inter-Nondenominational,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,33,Bachelors,"<$1,000",None,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,25,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,26,Pretyy Happy,Not Too Happy,NA,65,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,61,Graduate,"$25,000 or more",Catholic ,Routine
Widowed,No ,NA,20,Not Too Happy,NA,NA,67,High School,"$20,000 to $24,999",Catholic ,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,27,Graduate,"$25,000 or more",Catholic ,Exciting
Married,Yes,No ,NA,Not Too Happy,Pretyy Happy,NA,50,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,29,Pretyy Happy,Very Happy,NA,72,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,35,Not Too Happy,Pretyy Happy,NA,71,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,NA,Pretyy Happy,Not Too Happy,NA,56,Graduate,Refused,Protestant,Exciting
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,35,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,24,Not Too Happy,Pretyy Happy,NA,72,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,28,Bachelors,"$25,000 or more",None,Dull
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,32,Graduate,"$25,000 or more",None,Routine
Never Married,NA,NA,17,Not Too Happy,NA,NA,43,High School,"$15,000 to $19,999",Protestant,Routine
Married,No ,No ,29,Not Too Happy,Very Happy,NA,47,Bachelors,Refused,Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,46,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,28,Pretyy Happy,NA,NA,62,Graduate,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,NA,Not Too Happy,Not Too Happy,NA,55,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,19,Not Too Happy,NA,NA,71,High School,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,18,Pretyy Happy,NA,NA,85,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,24,Very Happy,Very Happy,NA,76,Associate,"$25,000 or more",None,Exciting
Divorced,NA,No ,29,Pretyy Happy,NA,Very Happy,35,Graduate,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,25,Very Happy,NA,Very Happy,28,Bachelors,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,23,Very Happy,Very Happy,NA,69,Associate,"$25,000 or more",Protestant,Exciting
Widowed,Yes,NA,25,Not Too Happy,NA,NA,77,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,35,Pretyy Happy,Pretyy Happy,NA,43,Associate,"$25,000 or more",Protestant,Routine
Married,No ,No ,32,Not Too Happy,Not Too Happy,NA,75,High School,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,23,Very Happy,Very Happy,NA,76,Graduate,"$25,000 or more",None,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,31,High School,"$25,000 or more",None,Routine
Married,No ,No ,29,Pretyy Happy,Pretyy Happy,NA,48,Graduate,Refused,Buddhism,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,23,High School,"$10,000 to $14,999",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,Pretyy Happy,31,Graduate,"$25,000 or more",None,Routine
Divorced,NA,No ,30,Very Happy,NA,Very Happy,47,High School,"$25,000 or more",Catholic ,Exciting
Widowed,Yes,NA,23,Very Happy,NA,Very Happy,89,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,21,Not Too Happy,Very Happy,NA,60,High School,"$25,000 or more",Protestant,Exciting
Widowed,No ,NA,23,Pretyy Happy,NA,NA,89,<High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,27,Not Too Happy,NA,NA,53,High School,"$25,000 or more",None,Routine
Married,No ,No ,18,Pretyy Happy,Very Happy,NA,60,High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,20,Not Too Happy,NA,NA,54,High School,"$10,000 to $14,999",Jewish ,Routine
Widowed,Yes,NA,19,Very Happy,NA,NA,73,Bachelors,"$15,000 to $19,999",Protestant,Routine
Married,Yes,No ,19,Pretyy Happy,Very Happy,NA,49,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,18,Pretyy Happy,NA,Not Too Happy,30,High School,"$15,000 to $19,999",Catholic ,Routine
Widowed,Yes,NA,27,Not Too Happy,NA,NA,67,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,22,Very Happy,Very Happy,NA,37,Graduate,"$7,000 to $7,999",Protestant,Exciting
Never Married,NA,NA,18,Very Happy,NA,NA,26,Associate,"$25,000 or more",Buddhism,Exciting
Married,Yes,No ,NA,Not Too Happy,Pretyy Happy,NA,70,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,27,Very Happy,Very Happy,NA,32,Graduate,"$25,000 or more",Christian,Exciting
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,33,High School,"$25,000 or more",Protestant,Routine
Widowed,Yes,NA,27,Pretyy Happy,NA,NA,68,Graduate,"$25,000 or more",Jewish ,Routine
Married,Yes,No ,24,Very Happy,Pretyy Happy,NA,70,Graduate,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,20,Very Happy,NA,NA,89,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,49,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,23,Not Too Happy,Pretyy Happy,NA,57,Associate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,30,Not Too Happy,NA,NA,68,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,17,Pretyy Happy,NA,NA,65,Bachelors,"$25,000 or more",None,Routine
Married,Yes,No ,32,Pretyy Happy,Very Happy,NA,58,Graduate,"$25,000 or more",Protestant,Exciting
Widowed,Yes,NA,21,Not Too Happy,NA,NA,55,Associate,"$7,000 to $7,999",None,Routine
Married,Yes,No ,32,Not Too Happy,Very Happy,NA,64,High School,"$10,000 to $14,999",Protestant,Dull
Married,Yes,No ,22,Pretyy Happy,Pretyy Happy,NA,55,Bachelors,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,NA,Pretyy Happy,Pretyy Happy,NA,39,High School,"$25,000 or more",Buddhism,Exciting
Never Married,NA,NA,25,Pretyy Happy,NA,NA,27,Bachelors,"$20,000 to $24,999",None,Routine
Married,Yes,No ,20,Pretyy Happy,Very Happy,NA,57,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,42,Graduate,Refused,None,Exciting
Married,Yes,No ,20,Pretyy Happy,Pretyy Happy,NA,55,High School,"$20,000 to $24,999",None,Routine
Separated,NA,No ,30,Pretyy Happy,NA,NA,65,Bachelors,Refused,None,Routine
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,57,High School,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,19,Not Too Happy,NA,NA,78,High School,"$7,000 to $7,999",Protestant,Dull
Never Married,NA,NA,29,Very Happy,NA,Very Happy,38,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,Pretyy Happy,45,High School,"$25,000 or more",None,Routine
Never Married,NA,NA,19,Not Too Happy,NA,NA,28,High School,"$20,000 to $24,999",Protestant,Dull
Married,Yes,No ,21,Pretyy Happy,Very Happy,NA,35,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,30,Pretyy Happy,Very Happy,NA,64,High School,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,17,Very Happy,Very Happy,NA,62,Bachelors,"$25,000 or more",Protestant,Exciting
Separated,NA,No ,20,Pretyy Happy,NA,NA,34,<High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,NA,Not Too Happy,NA,NA,43,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,25,Not Too Happy,Not Too Happy,NA,30,Associate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,20,Pretyy Happy,Very Happy,NA,57,High School,"$25,000 or more",Protestant,Exciting
Widowed,Yes,NA,23,Pretyy Happy,NA,NA,62,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,19,Pretyy Happy,NA,NA,41,High School,"$3,000 to $3,999",Protestant,Dull
Divorced,NA,No ,NA,Pretyy Happy,NA,Pretyy Happy,46,High School,"<$1,000",Protestant,Exciting
Never Married,NA,NA,29,Pretyy Happy,NA,Pretyy Happy,36,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,19,Pretyy Happy,NA,NA,50,<High School,"<$1,000",Protestant,Routine
Never Married,NA,NA,18,Not Too Happy,NA,NA,49,Associate,"$8,000 to $9,999",None,Routine
Married,No ,No ,26,Pretyy Happy,Very Happy,NA,66,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,28,Pretyy Happy,NA,Very Happy,63,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,41,Bachelors,"$25,000 or more",None,Exciting
Divorced,NA,No ,26,Pretyy Happy,NA,NA,80,Graduate,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,71,Graduate,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,27,Bachelors,Refused,Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,25,Graduate,Refused,Jewish ,Routine
Never Married,NA,NA,22,Pretyy Happy,NA,Very Happy,37,High School,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,27,Pretyy Happy,Very Happy,NA,55,Bachelors,Refused,Protestant,Exciting
Widowed,No ,NA,26,Very Happy,NA,NA,71,Graduate,Refused,None,Exciting
Widowed,Yes,NA,30,Pretyy Happy,NA,NA,66,Graduate,"$25,000 or more",Jewish ,Routine
Married,No ,No ,27,Pretyy Happy,Pretyy Happy,NA,56,Bachelors,Refused,Catholic ,Routine
Married,Yes,No ,NA,Pretyy Happy,Very Happy,NA,49,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,31,Very Happy,Very Happy,NA,74,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,30,Graduate,"$25,000 or more",Hinduism,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,27,Graduate,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,30,Pretyy Happy,Very Happy,NA,69,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Not Too Happy,NA,NA,55,Graduate,"$25,000 or more",None,Routine
Married,Yes,No ,23,Very Happy,Very Happy,NA,38,High School,"$25,000 or more",None,Routine
Married,No ,No ,22,Pretyy Happy,Pretyy Happy,NA,71,High School,"$4,000 to $4,999",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,35,Graduate,"$25,000 or more",Protestant,Exciting
Widowed,No ,NA,NA,Not Too Happy,NA,NA,75,<High School,"$8,000 to $9,999",Catholic ,Dull
Married,No ,No ,39,Pretyy Happy,Pretyy Happy,NA,61,Bachelors,Refused,Buddhism,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,57,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,19,Very Happy,Very Happy,NA,73,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,20,High School,"$25,000 or more",None,Routine
Never Married,NA,NA,20,Not Too Happy,NA,NA,58,Associate,"$8,000 to $9,999",Protestant,Routine
Married,Yes,No ,18,Very Happy,Very Happy,NA,61,<High School,"<$1,000",Catholic ,Exciting
Married,Yes,No ,24,Pretyy Happy,Pretyy Happy,NA,58,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,31,Bachelors,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,21,Not Too Happy,Pretyy Happy,NA,62,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,26,Pretyy Happy,Very Happy,NA,75,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,32,Pretyy Happy,Not Too Happy,NA,51,High School,"$25,000 or more",Protestant,Exciting
Widowed,No ,NA,25,Pretyy Happy,NA,NA,89,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,28,Very Happy,Very Happy,NA,71,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,33,Pretyy Happy,Very Happy,NA,58,Graduate,Refused,Protestant,Exciting
Divorced,NA,No ,32,Not Too Happy,NA,NA,64,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,21,Pretyy Happy,Very Happy,NA,73,Graduate,"$25,000 or more",Protestant,Dull
Divorced,NA,No ,21,Not Too Happy,NA,NA,82,High School,"$15,000 to $19,999",Catholic ,Routine
Married,No ,No ,39,Pretyy Happy,Very Happy,NA,55,High School,"$25,000 or more",Muslim,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,33,Bachelors,Refused,None,Exciting
Married,No ,No ,24,Pretyy Happy,Pretyy Happy,NA,82,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,58,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,41,Graduate,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,16,Pretyy Happy,Not Too Happy,NA,38,High School,"$1,000 to $2,999",Protestant,Exciting
Married,No ,No ,33,Pretyy Happy,Very Happy,NA,63,Associate,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,22,Very Happy,NA,Very Happy,73,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,28,Very Happy,Very Happy,NA,62,Bachelors,"$25,000 or more",Protestant,Routine
